"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 1","1 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 1","1 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 1","1 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 1","1 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 1","1 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 1","1 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 1","1 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 1","1 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 1","1 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 1","1 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 1","1 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 1","1 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 1","1 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 1","1 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 1","1 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 1","1 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 1","1 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 1","1 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 1","1 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 1","1 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 1","1 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 1","1 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 1","1 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 1","1 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 1","1 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 1","1 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 1","1 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 1","1 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 1","1 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 1","1 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 1","1 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 1","1 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 1","1 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 1","1 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 1","1 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 1","1 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 1","1 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 1","1 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 1","1 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 1","1 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 1","1 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 1","1 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 1","1 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 1","1 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 1","1 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 1","1 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 1","1 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 1","1 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 1","1 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 1","1 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 1","1 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 1","1 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 1","2 wk ahead","Point","percent",NA,NA,2.3
"HHS Region 1","2 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","2 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","2 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","2 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","2 wk ahead","Bin","percent","0.4","0.5",0.00002
"HHS Region 1","2 wk ahead","Bin","percent","0.5","0.6",0.00008
"HHS Region 1","2 wk ahead","Bin","percent","0.6","0.7",0.0005
"HHS Region 1","2 wk ahead","Bin","percent","0.7","0.8",0.00094
"HHS Region 1","2 wk ahead","Bin","percent","0.8","0.9",0.00248
"HHS Region 1","2 wk ahead","Bin","percent","0.9","1.0",0.00532
"HHS Region 1","2 wk ahead","Bin","percent","1.0","1.1",0.00936
"HHS Region 1","2 wk ahead","Bin","percent","1.1","1.2",0.01424
"HHS Region 1","2 wk ahead","Bin","percent","1.2","1.3",0.0191
"HHS Region 1","2 wk ahead","Bin","percent","1.3","1.4",0.02602
"HHS Region 1","2 wk ahead","Bin","percent","1.4","1.5",0.03124
"HHS Region 1","2 wk ahead","Bin","percent","1.5","1.6",0.03792
"HHS Region 1","2 wk ahead","Bin","percent","1.6","1.7",0.04192
"HHS Region 1","2 wk ahead","Bin","percent","1.7","1.8",0.0453
"HHS Region 1","2 wk ahead","Bin","percent","1.8","1.9",0.05008
"HHS Region 1","2 wk ahead","Bin","percent","1.9","2.0",0.05176
"HHS Region 1","2 wk ahead","Bin","percent","2.0","2.1",0.05226
"HHS Region 1","2 wk ahead","Bin","percent","2.1","2.2",0.05228
"HHS Region 1","2 wk ahead","Bin","percent","2.2","2.3",0.05144
"HHS Region 1","2 wk ahead","Bin","percent","2.3","2.4",0.05096
"HHS Region 1","2 wk ahead","Bin","percent","2.4","2.5",0.04706
"HHS Region 1","2 wk ahead","Bin","percent","2.5","2.6",0.04524
"HHS Region 1","2 wk ahead","Bin","percent","2.6","2.7",0.04146
"HHS Region 1","2 wk ahead","Bin","percent","2.7","2.8",0.03742
"HHS Region 1","2 wk ahead","Bin","percent","2.8","2.9",0.0344
"HHS Region 1","2 wk ahead","Bin","percent","2.9","3.0",0.03112
"HHS Region 1","2 wk ahead","Bin","percent","3.0","3.1",0.02828
"HHS Region 1","2 wk ahead","Bin","percent","3.1","3.2",0.02394
"HHS Region 1","2 wk ahead","Bin","percent","3.2","3.3",0.01954
"HHS Region 1","2 wk ahead","Bin","percent","3.3","3.4",0.01946
"HHS Region 1","2 wk ahead","Bin","percent","3.4","3.5",0.01826
"HHS Region 1","2 wk ahead","Bin","percent","3.5","3.6",0.01586
"HHS Region 1","2 wk ahead","Bin","percent","3.6","3.7",0.01284
"HHS Region 1","2 wk ahead","Bin","percent","3.7","3.8",0.0113
"HHS Region 1","2 wk ahead","Bin","percent","3.8","3.9",0.00966
"HHS Region 1","2 wk ahead","Bin","percent","3.9","4.0",0.00876
"HHS Region 1","2 wk ahead","Bin","percent","4.0","4.1",0.00738
"HHS Region 1","2 wk ahead","Bin","percent","4.1","4.2",0.00626
"HHS Region 1","2 wk ahead","Bin","percent","4.2","4.3",0.0063
"HHS Region 1","2 wk ahead","Bin","percent","4.3","4.4",0.0044
"HHS Region 1","2 wk ahead","Bin","percent","4.4","4.5",0.0039
"HHS Region 1","2 wk ahead","Bin","percent","4.5","4.6",0.0035
"HHS Region 1","2 wk ahead","Bin","percent","4.6","4.7",0.00314
"HHS Region 1","2 wk ahead","Bin","percent","4.7","4.8",0.00282
"HHS Region 1","2 wk ahead","Bin","percent","4.8","4.9",0.00216
"HHS Region 1","2 wk ahead","Bin","percent","4.9","5.0",0.00182
"HHS Region 1","2 wk ahead","Bin","percent","5.0","5.1",0.0014
"HHS Region 1","2 wk ahead","Bin","percent","5.1","5.2",0.00138
"HHS Region 1","2 wk ahead","Bin","percent","5.2","5.3",0.0012
"HHS Region 1","2 wk ahead","Bin","percent","5.3","5.4",0.00088
"HHS Region 1","2 wk ahead","Bin","percent","5.4","5.5",0.00084
"HHS Region 1","2 wk ahead","Bin","percent","5.5","5.6",0.0008
"HHS Region 1","2 wk ahead","Bin","percent","5.6","5.7",0.00068
"HHS Region 1","2 wk ahead","Bin","percent","5.7","5.8",0.00056
"HHS Region 1","2 wk ahead","Bin","percent","5.8","5.9",0.00036
"HHS Region 1","2 wk ahead","Bin","percent","5.9","6.0",0.00044
"HHS Region 1","2 wk ahead","Bin","percent","6.0","6.1",0.00022
"HHS Region 1","2 wk ahead","Bin","percent","6.1","6.2",0.00024
"HHS Region 1","2 wk ahead","Bin","percent","6.2","6.3",0.00026
"HHS Region 1","2 wk ahead","Bin","percent","6.3","6.4",0.0002
"HHS Region 1","2 wk ahead","Bin","percent","6.4","6.5",0.00014
"HHS Region 1","2 wk ahead","Bin","percent","6.5","6.6",0.00008
"HHS Region 1","2 wk ahead","Bin","percent","6.6","6.7",0.0001
"HHS Region 1","2 wk ahead","Bin","percent","6.7","6.8",0.00004
"HHS Region 1","2 wk ahead","Bin","percent","6.8","6.9",0.00006
"HHS Region 1","2 wk ahead","Bin","percent","6.9","7.0",0.00008
"HHS Region 1","2 wk ahead","Bin","percent","7.0","7.1",0.00014
"HHS Region 1","2 wk ahead","Bin","percent","7.1","7.2",0.00006
"HHS Region 1","2 wk ahead","Bin","percent","7.2","7.3",0.00004
"HHS Region 1","2 wk ahead","Bin","percent","7.3","7.4",0.00004
"HHS Region 1","2 wk ahead","Bin","percent","7.4","7.5",0.00006
"HHS Region 1","2 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 1","2 wk ahead","Bin","percent","7.6","7.7",0.00002
"HHS Region 1","2 wk ahead","Bin","percent","7.7","7.8",0.00002
"HHS Region 1","2 wk ahead","Bin","percent","7.8","7.9",0.00004
"HHS Region 1","2 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 1","2 wk ahead","Bin","percent","8.0","8.1",0.00002
"HHS Region 1","2 wk ahead","Bin","percent","8.1","8.2",0.00002
"HHS Region 1","2 wk ahead","Bin","percent","8.2","8.3",0.00002
"HHS Region 1","2 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 1","2 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 1","2 wk ahead","Bin","percent","8.5","8.6",0.00002
"HHS Region 1","2 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 1","2 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 1","2 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 1","2 wk ahead","Bin","percent","8.9","9.0",0.00002
"HHS Region 1","2 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 1","2 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 1","2 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 1","2 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 1","2 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 1","2 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 1","2 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 1","2 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 1","2 wk ahead","Bin","percent","9.8","9.9",0.00002
"HHS Region 1","2 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 1","2 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 1","2 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 1","2 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 1","2 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 1","2 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 1","2 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 1","2 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 1","2 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 1","2 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 1","2 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 1","2 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 1","2 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 1","2 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 1","2 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 1","2 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 1","2 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 1","2 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 1","2 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 1","2 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 1","2 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 1","2 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 1","2 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 1","2 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 1","2 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 1","2 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 1","2 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 1","2 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 1","2 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 1","2 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 1","2 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 1","2 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 1","3 wk ahead","Point","percent",NA,NA,2.4
"HHS Region 1","3 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","3 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","3 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","3 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","3 wk ahead","Bin","percent","0.4","0.5",0.00002
"HHS Region 1","3 wk ahead","Bin","percent","0.5","0.6",0.00012
"HHS Region 1","3 wk ahead","Bin","percent","0.6","0.7",0.00058
"HHS Region 1","3 wk ahead","Bin","percent","0.7","0.8",0.00186
"HHS Region 1","3 wk ahead","Bin","percent","0.8","0.9",0.0036
"HHS Region 1","3 wk ahead","Bin","percent","0.9","1.0",0.00552
"HHS Region 1","3 wk ahead","Bin","percent","1.0","1.1",0.00926
"HHS Region 1","3 wk ahead","Bin","percent","1.1","1.2",0.01428
"HHS Region 1","3 wk ahead","Bin","percent","1.2","1.3",0.01824
"HHS Region 1","3 wk ahead","Bin","percent","1.3","1.4",0.02132
"HHS Region 1","3 wk ahead","Bin","percent","1.4","1.5",0.02808
"HHS Region 1","3 wk ahead","Bin","percent","1.5","1.6",0.0337
"HHS Region 1","3 wk ahead","Bin","percent","1.6","1.7",0.03534
"HHS Region 1","3 wk ahead","Bin","percent","1.7","1.8",0.0393
"HHS Region 1","3 wk ahead","Bin","percent","1.8","1.9",0.04216
"HHS Region 1","3 wk ahead","Bin","percent","1.9","2.0",0.0432
"HHS Region 1","3 wk ahead","Bin","percent","2.0","2.1",0.04492
"HHS Region 1","3 wk ahead","Bin","percent","2.1","2.2",0.04508
"HHS Region 1","3 wk ahead","Bin","percent","2.2","2.3",0.0469
"HHS Region 1","3 wk ahead","Bin","percent","2.3","2.4",0.04268
"HHS Region 1","3 wk ahead","Bin","percent","2.4","2.5",0.0426
"HHS Region 1","3 wk ahead","Bin","percent","2.5","2.6",0.04084
"HHS Region 1","3 wk ahead","Bin","percent","2.6","2.7",0.03816
"HHS Region 1","3 wk ahead","Bin","percent","2.7","2.8",0.03602
"HHS Region 1","3 wk ahead","Bin","percent","2.8","2.9",0.03448
"HHS Region 1","3 wk ahead","Bin","percent","2.9","3.0",0.03196
"HHS Region 1","3 wk ahead","Bin","percent","3.0","3.1",0.02876
"HHS Region 1","3 wk ahead","Bin","percent","3.1","3.2",0.02716
"HHS Region 1","3 wk ahead","Bin","percent","3.2","3.3",0.02532
"HHS Region 1","3 wk ahead","Bin","percent","3.3","3.4",0.024
"HHS Region 1","3 wk ahead","Bin","percent","3.4","3.5",0.02078
"HHS Region 1","3 wk ahead","Bin","percent","3.5","3.6",0.01826
"HHS Region 1","3 wk ahead","Bin","percent","3.6","3.7",0.01682
"HHS Region 1","3 wk ahead","Bin","percent","3.7","3.8",0.01452
"HHS Region 1","3 wk ahead","Bin","percent","3.8","3.9",0.01372
"HHS Region 1","3 wk ahead","Bin","percent","3.9","4.0",0.01182
"HHS Region 1","3 wk ahead","Bin","percent","4.0","4.1",0.0108
"HHS Region 1","3 wk ahead","Bin","percent","4.1","4.2",0.00978
"HHS Region 1","3 wk ahead","Bin","percent","4.2","4.3",0.00842
"HHS Region 1","3 wk ahead","Bin","percent","4.3","4.4",0.00756
"HHS Region 1","3 wk ahead","Bin","percent","4.4","4.5",0.00722
"HHS Region 1","3 wk ahead","Bin","percent","4.5","4.6",0.00614
"HHS Region 1","3 wk ahead","Bin","percent","4.6","4.7",0.00566
"HHS Region 1","3 wk ahead","Bin","percent","4.7","4.8",0.00534
"HHS Region 1","3 wk ahead","Bin","percent","4.8","4.9",0.00434
"HHS Region 1","3 wk ahead","Bin","percent","4.9","5.0",0.00384
"HHS Region 1","3 wk ahead","Bin","percent","5.0","5.1",0.00354
"HHS Region 1","3 wk ahead","Bin","percent","5.1","5.2",0.003
"HHS Region 1","3 wk ahead","Bin","percent","5.2","5.3",0.00306
"HHS Region 1","3 wk ahead","Bin","percent","5.3","5.4",0.00258
"HHS Region 1","3 wk ahead","Bin","percent","5.4","5.5",0.00188
"HHS Region 1","3 wk ahead","Bin","percent","5.5","5.6",0.00142
"HHS Region 1","3 wk ahead","Bin","percent","5.6","5.7",0.00148
"HHS Region 1","3 wk ahead","Bin","percent","5.7","5.8",0.00152
"HHS Region 1","3 wk ahead","Bin","percent","5.8","5.9",0.00114
"HHS Region 1","3 wk ahead","Bin","percent","5.9","6.0",0.00122
"HHS Region 1","3 wk ahead","Bin","percent","6.0","6.1",0.00122
"HHS Region 1","3 wk ahead","Bin","percent","6.1","6.2",0.00104
"HHS Region 1","3 wk ahead","Bin","percent","6.2","6.3",0.00084
"HHS Region 1","3 wk ahead","Bin","percent","6.3","6.4",0.00074
"HHS Region 1","3 wk ahead","Bin","percent","6.4","6.5",0.0006
"HHS Region 1","3 wk ahead","Bin","percent","6.5","6.6",0.00052
"HHS Region 1","3 wk ahead","Bin","percent","6.6","6.7",0.0003
"HHS Region 1","3 wk ahead","Bin","percent","6.7","6.8",0.00034
"HHS Region 1","3 wk ahead","Bin","percent","6.8","6.9",0.00034
"HHS Region 1","3 wk ahead","Bin","percent","6.9","7.0",0.0003
"HHS Region 1","3 wk ahead","Bin","percent","7.0","7.1",0.00036
"HHS Region 1","3 wk ahead","Bin","percent","7.1","7.2",0.00018
"HHS Region 1","3 wk ahead","Bin","percent","7.2","7.3",0.00024
"HHS Region 1","3 wk ahead","Bin","percent","7.3","7.4",0.0002
"HHS Region 1","3 wk ahead","Bin","percent","7.4","7.5",0.00016
"HHS Region 1","3 wk ahead","Bin","percent","7.5","7.6",0.00024
"HHS Region 1","3 wk ahead","Bin","percent","7.6","7.7",0.00014
"HHS Region 1","3 wk ahead","Bin","percent","7.7","7.8",0.00006
"HHS Region 1","3 wk ahead","Bin","percent","7.8","7.9",0.00008
"HHS Region 1","3 wk ahead","Bin","percent","7.9","8.0",0.00004
"HHS Region 1","3 wk ahead","Bin","percent","8.0","8.1",0.00006
"HHS Region 1","3 wk ahead","Bin","percent","8.1","8.2",0.00006
"HHS Region 1","3 wk ahead","Bin","percent","8.2","8.3",0.00006
"HHS Region 1","3 wk ahead","Bin","percent","8.3","8.4",0.00008
"HHS Region 1","3 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 1","3 wk ahead","Bin","percent","8.5","8.6",0.00002
"HHS Region 1","3 wk ahead","Bin","percent","8.6","8.7",0.00008
"HHS Region 1","3 wk ahead","Bin","percent","8.7","8.8",0.00004
"HHS Region 1","3 wk ahead","Bin","percent","8.8","8.9",0.0001
"HHS Region 1","3 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 1","3 wk ahead","Bin","percent","9.0","9.1",0.00002
"HHS Region 1","3 wk ahead","Bin","percent","9.1","9.2",0.00002
"HHS Region 1","3 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 1","3 wk ahead","Bin","percent","9.3","9.4",0.00004
"HHS Region 1","3 wk ahead","Bin","percent","9.4","9.5",0.00004
"HHS Region 1","3 wk ahead","Bin","percent","9.5","9.6",0.00006
"HHS Region 1","3 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 1","3 wk ahead","Bin","percent","9.7","9.8",0.00002
"HHS Region 1","3 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 1","3 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 1","3 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 1","3 wk ahead","Bin","percent","10.1","10.2",0.00002
"HHS Region 1","3 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 1","3 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 1","3 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 1","3 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 1","3 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 1","3 wk ahead","Bin","percent","10.7","10.8",0.00002
"HHS Region 1","3 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 1","3 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 1","3 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 1","3 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 1","3 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 1","3 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 1","3 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 1","3 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 1","3 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 1","3 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 1","3 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 1","3 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 1","3 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 1","3 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 1","3 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 1","3 wk ahead","Bin","percent","12.3","12.4",0
